UNDEF;Undefined
Q93.9;Deletion der Autosomen, nicht näher bezeichnet
Q95;Balancierte Chromosomen-Rearrangements und Struktur-Marker, anderenorts nicht klassifiziert
Q95.0;Balancierte Translokation und Insertion beim normalen Individuum
Q95.1;Chromosomen-Inversion beim normalen Individuum
Q95.2;Balanciertes Rearrangement der Autosomen beim abnormen Individuum
Q95.3;Balanciertes Rearrangement zwischen Gonosomen und Autosomen beim abnormen Individuum
Q95.4;Individuen mit Marker-Heterochromatin
Q95.5;Individuen mit autosomaler Bruchstelle
Q95.8;Sonstige balancierte Chromosomen-Rearrangements und Struktur-Marker
Q95.9;Balanciertes Chromosomen-Rearrangement und Struktur-Marker, nicht näher bezeichnet
Q96;Turner-Syndrom
Q96.0;Karyotyp 45,X
Q96.1;Karyotyp 46,X iso (Xq)
Q96.2;Karyotyp 46,X mit Gonosomenanomalie, ausgenommen iso (Xq)
Q96.3;Mosaik, 45,X/46,XX oder 45,X/46,XY
Q96.4;Mosaik, 45,X/sonstige Zelllinie(n) mit Gonosomenanomalie
Q96.8;Sonstige Varianten des Turner-Syndroms
Q96.9;Turner-Syndrom, nicht näher bezeichnet
Q97;Sonstige Anomalien der Gonosomen bei weiblichem Phänotyp, anderenorts nicht klassifiziert
Q97.0;Karyotyp 47,XXX
Q97.1;Weiblicher Phänotyp mit mehr als drei X-Chromosomen
Q97.2;Mosaik, Zelllinien mit unterschiedlicher Anzahl von X-Chromosomen
Q97.3;Weiblicher Phänotyp mit Karyotyp 46,XY
Q97.8;Sonstige näher bezeichnete Anomalien der Gonosomen bei weiblichem Phänotyp
Q97.9;Anomalie der Gonosomen bei weiblichem Phänotyp, nicht näher bezeichnet
Q98;Sonstige Anomalien der Gonosomen bei männlichem Phänotyp, anderenorts nicht klassifiziert
Q98.0;Klinefelter-Syndrom, Karyotyp 47,XXY
Q98.1;Klinefelter-Syndrom, männlicher Phänotyp mit mehr als zwei X-Chromosomen
Q98.2;Klinefelter-Syndrom, männlicher Phänotyp mit Karyotyp 46,XX
Q98.3;Sonstiger männlicher Phänotyp mit Karyotyp 46,XX
Q98.4;Klinefelter-Syndrom, nicht näher bezeichnet
Q98.5;Karyotyp 47,XYY
Q98.6;Männlicher Phänotyp mit Strukturanomalie der Gonosomen
Q98.7;Männlicher Phänotyp mit Gonosomen-Mosaik
Q98.8;Sonstige näher bezeichnete Anomalien der Gonosomen bei männlichem Phänotyp
Q98.9;Anomalie der Gonosomen bei männlichem Phänotyp, nicht näher bezeichnet
Q99;Sonstige Chromosomenanomalien, anderenorts nicht klassifiziert
Q99.0;Chimäre 46,XX/46,XY
Q99.1;Hermaphroditismus verus mit Karyotyp 46,XX
Q99.2;Fragiles X-Chromosom
Q99.8;Sonstige näher bezeichnete Chromosomenanomalien
Q99.9;Chromosomenanomalie, nicht näher bezeichnet
R00;Störungen des Herzschlages
R00.0;Tachykardie, nicht näher bezeichnet
R00.1;Bradykardie, nicht näher bezeichnet
R00.2;Palpitationen
R00.8;Sonstige und nicht näher bezeichnete Störungen des Herzschlages
R01;Herzgeräusche und andere Herz-Schallphänomene
R01.0;Benigne und akzidentelle Herzgeräusche
R01.1;Herzgeräusch, nicht näher bezeichnet
R01.2;Sonstige Herz-Schallphänomene
R02;Gangrän, anderenorts nicht klassifiziert
R03;Abnormer Blutdruckwert ohne Diagnose
R03.0;Erhöhter Blutdruckwert ohne Diagnose eines Bluthochdrucks
R03.1;Unspezifischer niedriger Blutdruckwert
R04;Blutung aus den Atemwegen
R04.0;Epistaxis
R04.1;Blutung aus dem Rachen
R04.2;Hämoptoe
R04.8;Blutung aus sonstigen Lokalisationen in den Atemwegen
R04.9;Blutung aus den Atemwegen, nicht näher bezeichnet
R05;Husten
R06;Störungen der Atmung
R06.0;Dyspnoe
R06.1;Stridor
R06.2;Ziehende Atmung
R06.3;Periodische Atmung
R06.4;Hyperventilation
R06.5;Mundatmung
R06.6;Singultus
R06.7;Niesen
R06.8;Sonstige und nicht näher bezeichnete Störungen der Atmung
R06.80;Akutes lebensbedrohliches Ereignis im Säuglingsalter
R06.88;Sonstige und nicht näher bezeichnete Störungen der Atmung
R07;Hals- und Brustschmerzen
R07.0;Halsschmerzen
R07.1;Brustschmerzen bei der Atmung
R07.2;Präkordiale Schmerzen
R07.3;Sonstige Brustschmerzen
R07.4;Brustschmerzen, nicht näher bezeichnet
R09;Sonstige Symptome, die das Kreislaufsystem und das Atmungssystem betreffen
R09.0;Asphyxie
R09.1;Pleuritis
R09.2;Atemstillstand
R09.3;Abnormes Sputum
R09.8;Sonstige näher bezeichnete Symptome, die das Kreislaufsystem und das Atmungssystem betreffen
R10;Bauch- und Beckenschmerzen
R10.0;Akutes Abdomen
R10.1;Schmerzen im Bereich des Oberbauches
R10.2;Schmerzen im Becken und am Damm
R10.3;Schmerzen mit Lokalisation in anderen Teilen des Unterbauches
R10.4;Sonstige und nicht näher bezeichnete Bauchschmerzen
R11;Übelkeit und Erbrechen
R12;Sodbrennen
R13;Dysphagie
R13.0;Dysphagie mit Beaufsichtigungspflicht während der Nahrungsaufnahme
R13.1;Dysphagie bei absaugpflichtigem Tracheostoma mit (teilweise) geblockter Trachealkanüle
R13.9;Sonstige und nicht näher bezeichnete Dysphagie
R14;Flatulenz und verwandte Zustände
R15;Stuhlinkontinenz
R16;Hepatomegalie und Splenomegalie, anderenorts nicht klassifiziert
R16.0;Hepatomegalie, anderenorts nicht klassifiziert
R16.1;Splenomegalie, anderenorts nicht klassifiziert
R16.2;Hepatomegalie verbunden mit Splenomegalie, anderenorts nicht klassifiziert
R17;Gelbsucht, nicht näher bezeichnet
R18;Aszites
R19;Sonstige Symptome, die das Verdauungssystem und das Abdomen betreffen
R19.0;Schwellung, Raumforderung und Knoten im Abdomen und Becken
R19.1;Abnorme Darmgeräusche
R19.2;Sichtbare Peristaltik
R19.3;Bauchdeckenspannung
R19.4;Veränderungen der Stuhlgewohnheiten
R19.5;Sonstige Stuhlveränderungen
R19.6;Mundgeruch
R19.8;Sonstige näher bezeichnete Symptome, die das Verdauungssystem und das Abdomen betreffen
R20;Sensibilitätsstörungen der Haut
R20.0;Anästhesie der Haut
R20.1;Hypästhesie der Haut
R20.2;Parästhesie der Haut
R20.3;Hyperästhesie der Haut
R20.8;Sonstige und nicht näher bezeichnete Sensibilitätsstörungen der Haut
R21;Hautausschlag und sonstige unspezifische Hauteruptionen
R22;Lokalisierte Schwellung, Raumforderung und Knoten der Haut und der Unterhaut
R22.0;Lokalisierte Schwellung, Raumforderung und Knoten der Haut und der Unterhaut am Kopf
R22.1;Lokalisierte Schwellung, Raumforderung und Knoten der Haut und der Unterhaut am Hals
R22.2;Lokalisierte Schwellung, Raumforderung und Knoten der Haut und der Unterhaut am Rumpf
R22.3;Lokalisierte Schwellung, Raumforderung und Knoten der Haut und der Unterhaut an den oberen Extremitäten
R22.4;Lokalisierte Schwellung, Raumforderung und Knoten der Haut und der Unterhaut an den unteren Extremitäten
R22.7;Lokalisierte Schwellung, Raumforderung und Knoten der Haut und der Unterhaut an mehreren Lokalisationen
R22.9;Lokalisierte Schwellung, Raumforderung und Knoten der Haut und der Unterhaut, nicht näher bezeichnet
R23;Sonstige Hautveränderungen
R23.0;Zyanose
R23.1;Blässe
R23.2;Gesichtsrötung [Flush]
R23.3;Spontane Ekchymosen
R23.4;Veränderungen des Hautreliefs
R23.8;Sonstige und nicht näher bezeichnete Hautveränderungen
R25;Abnorme unwillkürliche Bewegungen
R25.0;Abnorme Kopfbewegungen
R25.1;Tremor, nicht näher bezeichnet
R25.2;Krämpfe und Spasmen der Muskulatur
R25.3;Faszikulation
R25.8;Sonstige und nicht näher bezeichnete abnorme unwillkürliche Bewegungen
R26;Störungen des Ganges und der Mobilität
R26.0;Ataktischer Gang
R26.1;Paretischer Gang
R26.2;Gehbeschwerden, anderenorts nicht klassifiziert
R26.3;Immobilität
R26.8;Sonstige und nicht näher bezeichnete Störungen des Ganges und der Mobilität
R27;Sonstige Koordinationsstörungen
R27.0;Ataxie, nicht näher bezeichnet
R27.8;Sonstige und nicht näher bezeichnete Koordinationsstörungen
R29;Sonstige Symptome, die das Nervensystem und das Muskel-Skelett-System betreffen
R29.0;Tetanie
R29.1;Meningismus
R29.2;Abnorme Reflexe
R29.3;Abnorme Körperhaltung
R29.4;Schnappende Hüfte
R29.5;Neurologischer Neglect
R29.6;Sturzneigung, anderenorts nicht klassifiziert
R29.8;Sonstige und nicht näher bezeichnete Symptome, die das Nervensystem und das Muskel-Skelett-System betreffen
R30;Schmerzen beim Wasserlassen
R30.0;Dysurie
R30.1;Tenesmus vesicae
R30.9;Schmerzen beim Wasserlassen, nicht näher bezeichnet
R31;Nicht näher bezeichnete Hämaturie
R32;Nicht näher bezeichnete Harninkontinenz
R33;Harnverhaltung
R34;Anurie und Oligurie
R35;Polyurie
R36;Ausfluss aus der Harnröhre
R39;Sonstige Symptome, die das Harnsystem betreffen
R39.0;Urin-Extravasation
R39.1;Sonstige Miktionsstörungen
R39.2;Extrarenale Urämie
R39.8;Sonstige und nicht näher bezeichnete Symptome, die das Harnsystem betreffen
R40;Somnolenz, Sopor und Koma
R40.0;Somnolenz
R40.1;Sopor
R40.2;Koma, nicht näher bezeichnet
R41;Sonstige Symptome, die das Erkennungsvermögen und das Bewusstsein betreffen
R41.0;Orientierungsstörung, nicht näher bezeichnet
R41.1;Anterograde Amnesie
R41.2;Retrograde Amnesie
R41.3;Sonstige Amnesie
R41.8;Sonstige und nicht näher bezeichnete Symptome, die das Erkennungsvermögen und das Bewusstsein betreffen
R42;Schwindel und Taumel
R43;Störungen des Geruchs- und Geschmackssinnes
R43.0;Anosmie
R43.1;Parosmie
R43.2;Parageusie
R43.8;Sonstige und nicht näher bezeichnete Störungen des Geruchs- und Geschmackssinnes
R44;Sonstige Symptome, die die Sinneswahrnehmungen und das Wahrnehmungsvermögen betreffen
R44.0;Akustische Halluzinationen
R44.1;Optische Halluzinationen
R44.2;Sonstige Halluzinationen
R44.3;Halluzinationen, nicht näher bezeichnet
R44.8;Sonstige und nicht näher bezeichnete Symptome, die die Sinneswahrnehmungen und das Wahrnehmungsvermögen betreffen
R45;Symptome, die die Stimmung betreffen
R45.0;Nervosität
R45.1;Ruhelosigkeit und Erregung
R45.2;Unglücklichsein
R45.3;Demoralisierung und Apathie
R45.4;Reizbarkeit und Wut
R45.5;Feindseligkeit
R45.6;Körperliche Gewalt
R45.7;Emotioneller Schock oder Stress, nicht näher bezeichnet
R45.8;Sonstige Symptome, die die Stimmung betreffen
R46;Symptome, die das äußere Erscheinungsbild und das Verhalten betreffen
R46.0;Stark vernachlässigte Körperpflege
R46.1;Besonders auffälliges äußeres Erscheinungsbild
R46.2;Seltsames und unerklärliches Verhalten
R46.3;Hyperaktivität
R46.4;Verlangsamung und herabgesetztes Reaktionsvermögen
R46.5;Misstrauen oder ausweichendes Verhalten
R46.6;Unangemessene Betroffenheit und Beschäftigung mit Stressereignissen
R46.7;Wortschwall oder umständliche Detailschilderung, die die Gründe für eine Konsultation oder Inanspruchnahme verschleiern
R46.8;Sonstige Symptome, die das äußere Erscheinungsbild und das Verhalten betreffen
R47;Sprech- und Sprachstörungen, anderenorts nicht klassifiziert
R47.0;Dysphasie und Aphasie
R47.1;Dysarthrie und Anarthrie
R47.8;Sonstige und nicht näher bezeichnete Sprech- und Sprachstörungen
R48;Dyslexie und sonstige Werkzeugstörungen, anderenorts nicht klassifiziert
R48.0;Dyslexie und Alexie
R48.1;Agnosie
R48.2;Apraxie
R48.8;Sonstige und nicht näher bezeichnete Werkzeugstörungen
R49;Störungen der Stimme
R49.0;Dysphonie
R49.1;Aphonie
R49.2;Rhinophonia (aperta) (clausa)
R49.8;Sonstige und nicht näher bezeichnete Störungen der Stimme
R50;Fieber sonstiger und unbekannter Ursache
R50.2;Medikamenten-induziertes Fieber [Drug fever]
R50.8;Sonstiges näher bezeichnetes Fieber
R50.80;Fieber unbekannter Ursache
R50.88;Sonstiges näher bezeichnetes Fieber
R50.9;Fieber, nicht näher bezeichnet
R51;Kopfschmerz
R52;Schmerz, anderenorts nicht klassifiziert
R52.0;Akuter Schmerz
R52.1;Chronischer unbeeinflussbarer Schmerz
R52.2;Sonstiger chronischer Schmerz
R52.9;Schmerz, nicht näher bezeichnet
R53;Unwohlsein und Ermüdung
R54;Senilität
R55;Synkope und Kollaps
R56;Krämpfe, anderenorts nicht klassifiziert
R56.0;Fieberkrämpfe
R56.8;Sonstige und nicht näher bezeichnete Krämpfe
R57;Schock, anderenorts nicht klassifiziert
R57.0;Kardiogener Schock
R57.1;Hypovolämischer Schock
R57.2;Septischer Schock
R57.8;Sonstige Formen des Schocks
R57.9;Schock, nicht näher bezeichnet
R58;Blutung, anderenorts nicht klassifiziert
R59;Lymphknotenvergrößerung
R59.0;Lymphknotenvergrößerung, umschrieben
R59.1;Lymphknotenvergrößerung, generalisiert
R59.9;Lymphknotenvergrößerung, nicht näher bezeichnet
R60;Ödem, anderenorts nicht klassifiziert
R60.0;Umschriebenes Ödem
R60.1;Generalisiertes Ödem
R60.9;Ödem, nicht näher bezeichnet
R61;Hyperhidrose
R61.0;Hyperhidrose, umschrieben
R61.1;Hyperhidrose, generalisiert
R61.9;Hyperhidrose, nicht näher bezeichnet
R62;Ausbleiben der erwarteten normalen physiologischen Entwicklung
R62.0;Verzögertes Erreichen von Entwicklungsstufen
R62.8;Sonstiges Ausbleiben der erwarteten physiologischen Entwicklung
R62.9;Ausbleiben der erwarteten physiologischen Entwicklung, nicht näher bezeichnet
R63;Symptome, die die Nahrungs- und Flüssigkeitsaufnahme betreffen
R63.0;Anorexie
R63.1;Polydipsie
R63.2;Polyphagie
R63.3;Ernährungsprobleme und unsachgemäße Ernährung
R63.4;Abnorme Gewichtsabnahme
R63.5;Abnorme Gewichtszunahme
R63.6;Ungenügende Aufnahme von Nahrung und Flüssigkeit infolge Vernachlässigung der eigenen Person
R63.8;Sonstige Symptome, die die Nahrungs- und Flüssigkeitsaufnahme betreffen
R64;Kachexie
R65;Systemisches inflammatorisches Response-Syndrom [SIRS]
R65.0;Systemisches inflammatorisches Response-Syndrom [SIRS] infektiöser Genese ohne Organkomplikationen
R65.1;Systemisches inflammatorisches Response-Syndrom [SIRS] infektiöser Genese mit Organkomplikationen
R65.2;Systemisches inflammatorisches Response-Syndrom [SIRS] nichtinfektiöser Genese ohne Organkomplikationen
R65.3;Systemisches inflammatorisches Response-Syndrom [SIRS] nichtinfektiöser Genese mit Organkomplikationen
R65.9;Systemisches inflammatorisches Response-Syndrom [SIRS], nicht näher bezeichnet
R68;Sonstige Allgemeinsymptome
R68.0;Hypothermie, nicht in Verbindung mit niedriger Umgebungstemperatur
R68.1;Unspezifische Symptome im Kleinkindalter
R68.2;Mundtrockenheit, nicht näher bezeichnet
R68.3;Trommelschlegelfinger
R68.8;Sonstige näher bezeichnete Allgemeinsymptome
R69;Unbekannte und nicht näher bezeichnete Krankheitsursachen
R70;Beschleunigte Blutkörperchensenkungsreaktion und Veränderungen der Plasmaviskosität
R70.0;Beschleunigte Blutkörperchensenkungsreaktion
R70.1;Veränderte Plasmaviskosität
R71;Veränderung der Erythrozyten
R72;Veränderung der Leukozyten, anderenorts nicht klassifiziert
R73;Erhöhter Blutglukosewert
R73.0;Abnormer Glukosetoleranztest
R73.9;Hyperglykämie, nicht näher bezeichnet
R74;Abnorme Serumenzymwerte
R74.0;Erhöhung der Transaminasenwerte und des Laktat-Dehydrogenase-Wertes [LDH]
R74.8;Sonstige abnorme Serumenzymwerte
R74.9;Abnormer Wert nicht näher bezeichneter Serumenzyme
R75;Laborhinweis auf Humanes Immundefizienz-Virus [HIV]
R76;Sonstige abnorme immunologische Serumbefunde
R76.0;Erhöhter Antikörpertiter
R76.1;Abnorme Reaktion auf Tuberkulintest
R76.2;Falsch-positiver serologischer Syphilistest
R76.8;Sonstige näher bezeichnete abnorme immunologische Serumbefunde
R76.9;Abnormer immunologischer Serumbefund, nicht näher bezeichnet
R77;Sonstige Veränderungen der Plasmaproteine
R77.0;Veränderungen der Albumine
R77.1;Veränderungen der Globuline
R77.2;Veränderungen des Alpha-Fetoproteins
R77.8;Sonstige näher bezeichnete Veränderungen der Plasmaproteine
R77.80;Veränderung des prostataspezifischen Antigens [PSA]
R77.88;Sonstige näher bezeichnete Veränderungen der Plasmaproteine
R77.9;Veränderung eines Plasmaproteins, nicht näher bezeichnet
R78;Nachweis von Drogen und anderen Substanzen, die normalerweise nicht im Blut vorhanden sind
R78.0;Nachweis von Alkohol im Blut
R78.1;Nachweis von Opiaten im Blut
R78.2;Nachweis von Kokain im Blut
R78.3;Nachweis von Halluzinogenen im Blut
R78.4;Nachweis sonstiger Drogen mit Abhängigkeitspotential im Blut
R78.5;Nachweis psychotroper Drogen im Blut
R78.6;Nachweis von Steroiden im Blut
R78.7;Nachweis eines abnormen Schwermetall-Blutwertes
R78.8;Nachweis sonstiger näher bezeichneter Substanzen, die normalerweise nicht im Blut vorhanden sind
R78.9;Nachweis einer nicht näher bezeichneten Substanz, die normalerweise nicht im Blut vorhanden ist
R79;Sonstige abnorme Befunde der Blutchemie
R79.0;Abnormer Mineral-Blutwert
R79.8;Sonstige näher bezeichnete abnorme Befunde der Blutchemie
R79.9;Abnormer Befund der Blutchemie, nicht näher bezeichnet
R80;Isolierte Proteinurie
R81;Glukosurie
R82;Sonstige abnorme Urinbefunde
R82.0;Chylurie
R82.1;Myoglobinurie
R82.2;Bilirubinurie
R82.3;Hämoglobinurie
R82.4;Azetonurie
R82.5;Erhöhte Urinwerte für Drogen, Arzneimittel und biologisch aktive Substanzen
R82.6;Abnorme Urinwerte für Substanzen vorwiegend nichtmedizinischer Herkunft
R82.7;Abnorme Befunde bei der mikrobiologischen Urinuntersuchung
R82.8;Abnorme Befunde bei der zytologischen und histologischen Urinuntersuchung
R82.9;Sonstige und nicht näher bezeichnete abnorme Urinbefunde
R83;Abnorme Liquorbefunde
R83.0;Abnorme Liquorbefunde: Abnormer Enzymwert
R83.1;Abnorme Liquorbefunde: Abnormer Hormonwert
R83.2;Abnorme Liquorbefunde: Abnormer Wert für sonstige Drogen, Arzneimittel und biologisch aktive Substanzen
R83.3;Abnorme Liquorbefunde: Abnormer Wert für Substanzen vorwiegend nichtmedizinischer Herkunft
R83.4;Abnorme Liquorbefunde: Abnorme immunologische Befunde
R83.5;Abnorme Liquorbefunde: Abnorme mikrobiologische Befunde
R83.6;Abnorme Liquorbefunde: Abnorme zytologische Befunde
R83.7;Abnorme Liquorbefunde: Abnorme histologische Befunde
R83.8;Abnorme Liquorbefunde: Sonstige abnorme Befunde
R83.9;Abnorme Liquorbefunde: Nicht näher bezeichneter abnormer Befund
R84;Abnorme Befunde in Untersuchungsmaterialien aus Atemwegen und Thorax
R84.0;Abnorme Befunde in Untersuchungsmaterialien aus Atemwegen und Thorax: Abnormer Enzymwert
R84.1;Abnorme Befunde in Untersuchungsmaterialien aus Atemwegen und Thorax: Abnormer Hormonwert
R84.2;Abnorme Befunde in Untersuchungsmaterialien aus Atemwegen und Thorax: Abnormer Wert für sonstige Drogen, Arzneimittel und biologisch aktive Substanzen
R84.3;Abnorme Befunde in Untersuchungsmaterialien aus Atemwegen und Thorax: Abnormer Wert für Substanzen vorwiegend nichtmedizinischer Herkunft
R84.4;Abnorme Befunde in Untersuchungsmaterialien aus Atemwegen und Thorax: Abnorme immunologische Befunde
R84.5;Abnorme Befunde in Untersuchungsmaterialien aus Atemwegen und Thorax: Abnorme mikrobiologische Befunde
R84.6;Abnorme Befunde in Untersuchungsmaterialien aus Atemwegen und Thorax: Abnorme zytologische Befunde
R84.7;Abnorme Befunde in Untersuchungsmaterialien aus Atemwegen und Thorax: Abnorme histologische Befunde
R84.8;Abnorme Befunde in Untersuchungsmaterialien aus Atemwegen und Thorax: Sonstige abnorme Befunde
R84.9;Abnorme Befunde in Untersuchungsmaterialien aus Atemwegen und Thorax: Nicht näher bezeichneter abnormer Befund
R85;Abnorme Befunde in Untersuchungsmaterialien aus Verdauungsorganen und Bauchhöhle
R85.0;Abnorme Befunde in Untersuchungsmaterialien aus Verdauungsorganen und Bauchhöhle: Abnormer Enzymwert
R85.1;Abnorme Befunde in Untersuchungsmaterialien aus Verdauungsorganen und Bauchhöhle: Abnormer Hormonwert
R85.2;Abnorme Befunde in Untersuchungsmaterialien aus Verdauungsorganen und Bauchhöhle: Abnormer Wert für sonstige Drogen, Arzneimittel und biologisch aktive Substanzen
R85.3;Abnorme Befunde in Untersuchungsmaterialien aus Verdauungsorganen und Bauchhöhle: Abnormer Wert für Substanzen vorwiegend nichtmedizinischer Herkunft
R85.4;Abnorme Befunde in Untersuchungsmaterialien aus Verdauungsorganen und Bauchhöhle: Abnorme immunologische Befunde
R85.5;Abnorme Befunde in Untersuchungsmaterialien aus Verdauungsorganen und Bauchhöhle: Abnorme mikrobiologische Befunde
R85.6;Abnorme Befunde in Untersuchungsmaterialien aus Verdauungsorganen und Bauchhöhle: Abnorme zytologische Befunde
R85.7;Abnorme Befunde in Untersuchungsmaterialien aus Verdauungsorganen und Bauchhöhle: Abnorme histologische Befunde
R85.8;Abnorme Befunde in Untersuchungsmaterialien aus Verdauungsorganen und Bauchhöhle: Sonstige abnorme Befunde
R85.9;Abnorme Befunde in Untersuchungsmaterialien aus Verdauungsorganen und Bauchhöhle: Nicht näher bezeichneter abnormer Befund
R86;Abnorme Befunde in Untersuchungsmaterialien aus den männlichen Genitalorganen
R86.0;Abnorme Befunde in Untersuchungsmaterialien aus den männlichen Genitalorganen: Abnormer Enzymwert
R86.1;Abnorme Befunde in Untersuchungsmaterialien aus den männlichen Genitalorganen: Abnormer Hormonwert
R86.2;Abnorme Befunde in Untersuchungsmaterialien aus den männlichen Genitalorganen: Abnormer Wert für sonstige Drogen, Arzneimittel und biologisch aktive Substanzen
R86.3;Abnorme Befunde in Untersuchungsmaterialien aus den männlichen Genitalorganen: Abnormer Wert für Substanzen vorwiegend nichtmedizinischer Herkunft
R86.4;Abnorme Befunde in Untersuchungsmaterialien aus den männlichen Genitalorganen: Abnorme immunologische Befunde
R86.5;Abnorme Befunde in Untersuchungsmaterialien aus den männlichen Genitalorganen: Abnorme mikrobiologische Befunde
R86.6;Abnorme Befunde in Untersuchungsmaterialien aus den männlichen Genitalorganen: Abnorme zytologische Befunde
R86.7;Abnorme Befunde in Untersuchungsmaterialien aus den männlichen Genitalorganen: Abnorme histologische Befunde
R86.8;Abnorme Befunde in Untersuchungsmaterialien aus den männlichen Genitalorganen: Sonstige abnorme Befunde
R86.9;Abnorme Befunde in Untersuchungsmaterialien aus den männlichen Genitalorganen: Nicht näher bezeichneter abnormer Befund
R87;Abnorme Befunde in Untersuchungsmaterialien aus den weiblichen Genitalorganen
R87.0;Abnorme Befunde in Untersuchungsmaterialien aus den weiblichen Genitalorganen: Abnormer Enzymwert
R87.1;Abnorme Befunde in Untersuchungsmaterialien aus den weiblichen Genitalorganen: Abnormer Hormonwert
R87.2;Abnorme Befunde in Untersuchungsmaterialien aus den weiblichen Genitalorganen: Abnormer Wert für sonstige Drogen, Arzneimittel und biologisch aktive Substanzen
R87.3;Abnorme Befunde in Untersuchungsmaterialien aus den weiblichen Genitalorganen: Abnormer Wert für Substanzen vorwiegend nichtmedizinischer Herkunft
R87.4;Abnorme Befunde in Untersuchungsmaterialien aus den weiblichen Genitalorganen: Abnorme immunologische Befunde
R87.5;Abnorme Befunde in Untersuchungsmaterialien aus den weiblichen Genitalorganen: Abnorme mikrobiologische Befunde
R87.6;Abnorme Befunde in Untersuchungsmaterialien aus den weiblichen Genitalorganen: Abnorme zytologische Befunde
R87.7;Abnorme Befunde in Untersuchungsmaterialien aus den weiblichen Genitalorganen: Abnorme histologische Befunde
R87.8;Abnorme Befunde in Untersuchungsmaterialien aus den weiblichen Genitalorganen: Sonstige abnorme Befunde
R87.9;Abnorme Befunde in Untersuchungsmaterialien aus den weiblichen Genitalorganen: Nicht näher bezeichneter abnormer Befund
R89;Abnorme Befunde in Untersuchungsmaterialien aus anderen Körperorganen, -systemen und -geweben
R89.0;Abnorme Befunde in Untersuchungsmaterialien aus anderen Körperorganen, -systemen und -geweben: Abnormer Enzymwert
R89.1;Abnorme Befunde in Untersuchungsmaterialien aus anderen Körperorganen, -systemen und -geweben: Abnormer Hormonwert
R89.2;Abnorme Befunde in Untersuchungsmaterialien aus anderen Körperorganen, -systemen und -geweben: Abnormer Wert für sonstige Drogen, Arzneimittel und biologisch aktive Substanzen
R89.3;Abnorme Befunde in Untersuchungsmaterialien aus anderen Körperorganen, -systemen und -geweben: Abnormer Wert für Substanzen vorwiegend nichtmedizinischer Herkunft
R89.4;Abnorme Befunde in Untersuchungsmaterialien aus anderen Körperorganen, -systemen und -geweben: Abnorme immunologische Befunde
R89.5;Abnorme Befunde in Untersuchungsmaterialien aus anderen Körperorganen, -systemen und -geweben: Abnorme mikrobiologische Befunde
R89.6;Abnorme Befunde in Untersuchungsmaterialien aus anderen Körperorganen, -systemen und -geweben: Abnorme zytologische Befunde
R89.7;Abnorme Befunde in Untersuchungsmaterialien aus anderen Körperorganen, -systemen und -geweben: Abnorme histologische Befunde
R89.8;Abnorme Befunde in Untersuchungsmaterialien aus anderen Körperorganen, -systemen und -geweben: Sonstige abnorme Befunde
R89.9;Abnorme Befunde in Untersuchungsmaterialien aus anderen Körperorganen, -systemen und -geweben: Nicht näher bezeichneter abnormer Befund
R90;Abnorme Befunde bei der bildgebenden Diagnostik des Zentralnervensystems
R90.0;Intrakranielle Raumforderung
R90.8;Sonstige abnorme Befunde bei der bildgebenden Diagnostik des Zentralnervensystems
R91;Abnorme Befunde bei der bildgebenden Diagnostik der Lunge
R92;Abnorme Befunde bei der bildgebenden Diagnostik der Mamma [Brustdrüse]
R93;Abnorme Befunde bei der bildgebenden Diagnostik sonstiger Körperstrukturen
R93.0;Abnorme Befunde bei der bildgebenden Diagnostik des Schädels und des Kopfes, anderenorts nicht klassifiziert
R93.1;Abnorme Befunde bei der bildgebenden Diagnostik des Herzens und des Koronarkreislaufes
R93.2;Abnorme Befunde bei der bildgebenden Diagnostik der Leber und der Gallenwege
R93.3;Abnorme Befunde bei der bildgebenden Diagnostik sonstiger Teile des Verdauungstraktes
R93.4;Abnorme Befunde bei der bildgebenden Diagnostik der Harnorgane
R93.5;Abnorme Befunde bei der bildgebenden Diagnostik sonstiger Abdominalregionen, einschließlich des Retroperitoneums
R93.6;Abnorme Befunde bei der bildgebenden Diagnostik der Extremitäten
R93.7;Abnorme Befunde bei der bildgebenden Diagnostik sonstiger Abschnitte des Muskel-Skelett-Systems
R93.8;Abnorme Befunde bei der bildgebenden Diagnostik an sonstigen näher bezeichneten Körperstrukturen
R94;Abnorme Ergebnisse von Funktionsprüfungen
R94.0;Abnorme Ergebnisse von Funktionsprüfungen des Zentralnervensystems
R94.1;Abnorme Ergebnisse von Funktionsprüfungen des peripheren Nervensystems und bestimmter Sinnesorgane
R94.2;Abnorme Ergebnisse von Lungenfunktionsprüfungen
R94.3;Abnorme Ergebnisse von kardiovaskulären Funktionsprüfungen
R94.4;Abnorme Ergebnisse von Nierenfunktionsprüfungen
R94.5;Abnorme Ergebnisse von Leberfunktionsprüfungen
R94.6;Abnorme Ergebnisse von Schilddrüsenfunktionsprüfungen
R94.7;Abnorme Ergebnisse von sonstigen endokrinen Funktionsprüfungen
R94.8;Abnorme Ergebnisse von Funktionsprüfungen sonstiger Organe und Organsysteme
R95;Plötzlicher Kindstod
R95.0;Plötzlicher Kindstod mit Angabe einer Obduktion
R95.9;Plötzlicher Kindstod ohne Angabe einer Obduktion
R96;Sonstiger plötzlicher Tod unbekannter Ursache
R96.0;Plötzlich eingetretener Tod
